site_name,,BCD,BNM,Cultural Venue Type,latitude,longitude
"British Library, Manuscript Collections",,E09000007,Camden,Archives,51.52998677,-0.126988356
Mary Ward Centre,,E09000007,Camden,Archives,51.52086587,-0.12178428
Hon Soc of Gray's Inn: Archives,,E09000007,Camden,Archives,51.51927701,-0.112437215
Humanist Library and Archives,,E09000007,Camden,Archives,51.51979404,-0.118311294
National Secular Society,,E09000007,Camden,Archives,51.51979404,-0.118311294
Paul Mellon Centre for Studies in British Art,,E09000007,Camden,Archives,51.51957157,-0.130269899
Royal College of Anaesthetists,,E09000007,Camden,Archives,51.51943761,-0.119637687
University College London Hospitals NHS Foundation Trust,,E09000007,Camden,Archives,51.52573661,-0.137369511
English Folk Dance and Song Society: Vaughan Williams Memorial Library,,E09000007,Camden,Archives,51.53810212,-0.149337866
Hampstead Museum,,E09000007,Camden,Archives,51.5581809,-0.175067341
Highgate Literary and Scientific Institution,,E09000007,Camden,Archives,51.57018179,-0.14839595
Royal College of Physicians of London,,E09000007,Camden,Archives,51.52574929,-0.144980746
History of Parliament,,E09000007,Camden,Archives,51.51928304,-0.124025969
Camden Local Studies and Archives Centre,,E09000007,Camden,Archives,51.52118201,-0.115702644
"Jewish Museum, London (fomerly Finchley)",,E09000007,Camden,Archives,51.53728156,-0.144641468
"Jewish Museum, London",,E09000007,Camden,Archives,51.53728156,-0.144641468
Religious Society of Friends Library,,E09000007,Camden,Archives,51.5262991,-0.132589142
BT Archives,,E09000007,Camden,Archives,51.51761085,-0.116758156
Royal African Society,,E09000007,Camden,Archives,51.52235179,-0.129233406
London University: School of Oriental and African Studies (SOAS),,E09000007,Camden,Archives,51.52235179,-0.129233406
Law Centres Federation,,E09000007,Camden,Archives,51.52395509,-0.139575757
Charles Dickens Museum,,E09000007,Camden,Archives,51.52360065,-0.116237045
London University: Institute of Advanced Legal Studies,,E09000007,Camden,Archives,51.52248482,-0.127426054
Library and Museum of Freemasonry,,E09000007,Camden,Archives,51.51516268,-0.121110979
Federation of Master Builders,,E09000007,Camden,Archives,51.5216858,-0.116835035
Royal Asiatic Society,,E09000007,Camden,Archives,51.52650623,-0.135435119
German Historical Institute London,,E09000007,Camden,Archives,51.51890444,-0.123969462
London University: Institute of Education,,E09000007,Camden,Archives,51.52297862,-0.127939155
London University: Institute of Archaeology,,E09000007,Camden,Archives,51.52491681,-0.131622188
Royal Anthropological Institute of Great Britain and Ireland,,E09000007,Camden,Archives,51.52384191,-0.139811022
International Brewers Guild,,E09000007,Camden,Archives,51.51830308,-0.10724526
Royal College of Paediatrics and Child Health,,E09000007,Camden,Archives,51.52071748,-0.115894802
Art Workers Guild,,E09000007,Camden,Archives,51.5214067,-0.122987281
Chartered Institute of Library and Information Professionals (CILIP),,E09000007,Camden,Archives,51.52030934,-0.131421658
British Humanist Association,,E09000007,Camden,Archives,51.51979395,-0.130116644
Newman Association,,E09000007,Camden,Archives,51.52051425,-0.116119411
The Artangel Trust,,E09000007,Camden,Archives,51.52297249,-0.110727484
Faber Archive,,E09000007,Camden,Archives,51.51922382,-0.12425903
Friends of the Hebrew University of Jerusalem,,E09000007,Camden,Archives,51.53747892,-0.144042224
British Heart Foundation,,E09000007,Camden,Archives,51.53344266,-0.139592511
National Council of Building Materials Producers,,E09000007,Camden,Archives,51.51965513,-0.131563761
London University: Warburg Institute,,E09000007,Camden,Archives,51.52327321,-0.130622753
National Institute for Social Work,,E09000007,Camden,Archives,51.52526291,-0.127384112
University College School,,E09000007,Camden,Archives,51.55350825,-0.181082008
British Museum: Department of Ancient Egypt and Sudan,,E09000007,Camden,Archives,51.51936411,-0.126847821
British Museum: Department of the Ancient Near East,,E09000007,Camden,Archives,51.51936411,-0.126847821
British Museum: Department of Prints and Drawings,,E09000007,Camden,Archives,51.51936411,-0.126847821
British Museum: Department of Greek and Roman Antiquities,,E09000007,Camden,Archives,51.51936411,-0.126847821
"British Museum: Department of Britain, Europe and Prehistory",,E09000007,Camden,Archives,51.51936411,-0.126847821
British Museum Ethnography Library,,E09000007,Camden,Archives,51.51936411,-0.126847821
British Museum Central Archive,,E09000007,Camden,Archives,51.51936411,-0.126847821
Highgate Cemetery,,E09000007,Camden,Archives,51.56691029,-0.146797338
London University: London School of Hygiene and Tropical Medicine,,E09000007,Camden,Archives,51.52092672,-0.130661227
Great Ormond Street Hospital Archives,,E09000007,Camden,Archives,51.52221155,-0.11989817
National Association of University and College Union,,E09000007,Camden,Archives,51.53514553,-0.139797015
London University: Birkbeck College,,E09000007,Camden,Archives,51.52189271,-0.130333352
Lincoln's Inn Archives,,E09000007,Camden,Archives,51.51643182,-0.114457444
CAMLIS (Complimentary and Alternative Medicine Library and Information Service) Archive,,E09000007,Camden,Archives,51.52174058,-0.121373486
National Housing Federation,,E09000007,Camden,Archives,51.51844721,-0.119563184
Royal Academy of Dramatic Art,,E09000007,Camden,Archives,51.52088928,-0.13226279
Sir John Soane's Museum,,E09000007,Camden,Archives,51.51699356,-0.117518714
Central School of Speech and Drama,,E09000007,Camden,Archives,51.54432753,-0.174179507
Ben Uri Art Society and Gallery,,E09000007,Camden,Archives,51.5375408,-0.185367081
Huguenot Library,,E09000007,Camden,Archives,51.52357126,-0.132398065
London University: University College Department of Egyptology,,E09000007,Camden,Archives,51.52357126,-0.132398065
Jewish Studies Library,,E09000007,Camden,Archives,51.52357126,-0.132398065
The Wiener Library for the Study of the Holocaust and Genocide,,E09000007,Camden,Archives,51.52160317,-0.127966757
London University: Institute for the Study of the Americas,,E09000007,Camden,Archives,51.52484364,-0.129852027
Royal Free Hospital Medical Library,,E09000007,Camden,Archives,51.55298126,-0.166288788
British Olympic Association,,E09000007,Camden,Archives,51.52004232,-0.136117275
"University College London (UCL) Queen Square Library, Archive and Museum",,E09000007,Camden,Archives,51.52259388,-0.122433912
Folklore Society Archives,,E09000007,Camden,Archives,51.5248441,-0.13326858
London University: University College London (UCL) Special Collections,,E09000007,Camden,Archives,51.5248441,-0.13326858
British Film Institute (BFI) National Archive,,E09000007,Camden,Archives,51.51785121,-0.132920441
Dr Williams's Library,,E09000007,Camden,Archives,51.52393564,-0.131561459
Congregational Library,,E09000007,Camden,Archives,51.52393564,-0.131561459
University of the Arts London: Central St Martins College of Art and Design,,E09000007,Camden,Archives,51.53538581,-0.125512168
Royal College of General Practitioners,,E09000007,Camden,Archives,51.52653977,-0.134150684
The Guinness Partnership,,E09000007,Camden,Archives,51.52599671,-0.139593415
National League of the Blind and Disabled,,E09000007,Camden,Archives,51.52884842,-0.119350731
Architectural Association Archives,,E09000007,Camden,Archives,51.51853136,-0.131018802
National Childbirth Trust,,E09000009,Ealing,Archives,51.50593843,-0.269739395
Ealing Local History Centre,,E09000009,Ealing,Archives,51.51233212,-0.302370117
Catholic Union of Great Britain,,E09000013,Hammersmith and Fulha,Archives,51.50441554,-0.248918069
Latymer Upper School,,E09000013,Hammersmith and Fulha,Archives,51.49273648,-0.237063395
Polish Library POSK,,E09000013,Hammersmith and Fulha,Archives,51.49351545,-0.237436695
William Morris Society,,E09000013,Hammersmith and Fulha,Archives,51.49058179,-0.235504366
Rogers Stirk Harbour + Partners,,E09000013,Hammersmith and Fulha,Archives,51.48362317,-0.224294009
St Paul's Girls' School,,E09000013,Hammersmith and Fulha,Archives,51.4951319,-0.218833263
Hammersmith and Fulham Archives and Local History Centre,,E09000013,Hammersmith and Fulha,Archives,51.49458469,-0.223666292
The Nutrition Society,,E09000013,Hammersmith and Fulha,Archives,51.49533778,-0.22470308
Society for Psychical Research,,E09000013,Hammersmith and Fulha,Archives,51.49391403,-0.210309174
National Federation of Women's Institutes,,E09000013,Hammersmith and Fulha,Archives,51.47223329,-0.203871557
V&A Archive of Art and Design,,E09000013,Hammersmith and Fulha,Archives,51.49641388,-0.213841724
V&A Department of Theatre and Performance,,E09000013,Hammersmith and Fulha,Archives,51.49641388,-0.213841724
Harrods Archive,,E09000013,Hammersmith and Fulha,Archives,51.49454912,-0.213626532
Baring Archive,,E09000001,City and County of th,Archives,51.51551699,-0.089226292
LexisNexis Butterworths,,E09000001,City and County of th,Archives,51.51631266,-0.111522065
Employment Policy Institute,,E09000001,City and County of th,Archives,51.51506783,-0.075887122
Prudential Group Archives,,E09000001,City and County of th,Archives,51.51039098,-0.089040241
Chartered Insitute of Taxation,,E09000001,City and County of th,Archives,51.51520531,-0.110328375
Foreign and Commonwealth Office Library,,E09000001,City and County of th,Archives,51.51520531,-0.110328375
St Bride Library,,E09000001,City and County of th,Archives,51.51349205,-0.105023493
The Rothschild Archive,,E09000001,City and County of th,Archives,51.51231529,-0.089031735
Worshipful Society of Apothecaries,,E09000001,City and County of th,Archives,51.51289096,-0.102886619
Carpenters Company,,E09000001,City and County of th,Archives,51.51669821,-0.085936685
Clothworkers Company,,E09000001,City and County of th,Archives,51.51152987,-0.081138094
Drapers' Company,,E09000001,City and County of th,Archives,51.51523928,-0.0863582
Mercers' Company Archives,,E09000001,City and County of th,Archives,51.51416686,-0.091735853
Saddlers Company,,E09000001,City and County of th,Archives,51.51488611,-0.095597259
National Association of Citizens Advice Bureaux,,E09000001,City and County of th,Archives,51.51747107,-0.097507308
C Hoare & Co,,E09000001,City and County of th,Archives,51.51377693,-0.1096323
Leathersellers Company,,E09000001,City and County of th,Archives,51.51500491,-0.081543569
Lloyds Banking Group Archives (London),,E09000001,City and County of th,Archives,51.51876949,-0.080069711
Bishopsgate Institute,,E09000001,City and County of th,Archives,51.5187111,-0.079250559
City of London Club,,E09000001,City and County of th,Archives,51.5149871,-0.08468246
Schroder Archive,,E09000001,City and County of th,Archives,51.5160036,-0.095190298
Baltic Exchange,,E09000001,City and County of th,Archives,51.51497647,-0.08018605
Lloyd's,,E09000001,City and County of th,Archives,51.51301401,-0.082257511
Dr Johnson's House,,E09000001,City and County of th,Archives,51.51503546,-0.108159067
Royal Literary Fund,,E09000001,City and County of th,Archives,51.51480141,-0.108702042
City of London School,,E09000001,City and County of th,Archives,51.51102633,-0.099361206
Institute of Actuaries,,E09000001,City and County of th,Archives,51.51782273,-0.111371942
College of Arms,,E09000001,City and County of th,Archives,51.51223825,-0.098676614
City of London Police Museum,,E09000001,City and County of th,Archives,51.51667263,-0.093749855
Council for the Advancement of Arab-British Understanding,,E09000001,City and County of th,Archives,51.51514167,-0.108053774
Mission to Seafarers,,E09000001,City and County of th,Archives,51.51118565,-0.092004606
Museum of London Library,,E09000001,City and County of th,Archives,51.5177984,-0.096066695
Bank of England Archive,,E09000001,City and County of th,Archives,51.51418809,-0.088621829
Stationers Company,,E09000001,City and County of th,Archives,51.51428045,-0.101502905
Institute of Chartered Accountants in England and Wales,,E09000001,City and County of th,Archives,51.51639409,-0.088241168
St Bartholomew's Hospital Archives,,E09000001,City and County of th,Archives,51.51775143,-0.100378378
Barbers Company,,E09000001,City and County of th,Archives,51.5180174,-0.094601756
Lloyd's Register Foundation Heritage & Education Centre,,E09000001,City and County of th,Archives,51.51250665,-0.078733423
National Council for Housing and Planning,,E09000001,City and County of th,Archives,51.51031626,-0.084460529
Royal Town Planning Institute,,E09000001,City and County of th,Archives,51.51031626,-0.084460529
Salters Company,,E09000001,City and County of th,Archives,51.51823014,-0.092200156
"St Paul's Cathedral, Architectural Archive",,E09000001,City and County of th,Archives,51.51430322,-0.099022976
Inner Temple Library,,E09000001,City and County of th,Archives,51.51291913,-0.109644767
Inner Temple Archives,,E09000001,City and County of th,Archives,51.51279865,-0.109981236
Goldsmiths Company,,E09000001,City and County of th,Archives,51.51589613,-0.095771311
British Red Cross Museum and Archives,,E09000001,City and County of th,Archives,51.51908359,-0.08858643
Middle Temple Library,,E09000001,City and County of th,Archives,51.51189777,-0.110998545
Fishmongers Company,,E09000001,City and County of th,Archives,51.50935936,-0.087541437
All Hallows by the Tower,,E09000001,City and County of th,Archives,51.50933062,-0.079184156
"Friars Minor, English Province Archives",,E09000025,Newham,Archives,51.53951262,0.024906099
Franciscan Archives English Province,,E09000025,Newham,Archives,51.53951262,0.024906099
Newham Archive and Local Studies Library,,E09000025,Newham,Archives,51.54277052,0.004355963
Mind for Better Mental Health,,E09000025,Newham,Archives,51.54023648,0.001086514
Movement for Christian Democracy,,E09000025,Newham,Archives,51.51524569,0.013149883
University of East London: Library and Learning Centre,,E09000025,Newham,Archives,51.50748597,0.064786409
"Theatre Royal, Stratford East",,E09000025,Newham,Archives,51.54255806,0.001000881
Royal Medical Benevolent Fund,,E09000024,Merton,Archives,51.42115468,-0.201544771
University of the Arts London: Wimbledon College of Art,,E09000024,Merton,Archives,51.41350764,-0.21213045
Wimbledon Society Museum of Local History,,E09000024,Merton,Archives,51.42361787,-0.216205974
Royal British Nurses Association,,E09000024,Merton,Archives,51.38293674,-0.215506154
Wimbledon Lawn Tennis Museum: Kenneth Ritchie Wimbledon Library,,E09000024,Merton,Archives,51.43449072,-0.2144734
University of Roehampton: Archives and Special Collections,,E09000032,Wandsworth,Archives,51.45736039,-0.244932558
De Morgan Centre,,E09000032,Wandsworth,Archives,51.45713641,-0.200476777
Wandsworth Museum,,E09000032,Wandsworth,Archives,51.45713641,-0.200476777
Book Trust,,E09000032,Wandsworth,Archives,51.45797137,-0.184048133
Foster + Partners,,E09000032,Wandsworth,Archives,51.48076694,-0.168381317
Shaftesbury Young People,,E09000032,Wandsworth,Archives,51.45349738,-0.17390549
University of Roehampton: Southlands College Archives,,E09000032,Wandsworth,Archives,51.45954775,-0.244474421
"Queen Mary's Hospital, Roehampton",,E09000032,Wandsworth,Archives,51.45554949,-0.241705797
Wandsworth Heritage Service,,E09000032,Wandsworth,Archives,51.4640283,-0.164141817
Royal Academy of Dance: Philip Richardson Library,,E09000032,Wandsworth,Archives,51.47430671,-0.17507667
Franco-British Society,,E09000032,Wandsworth,Archives,51.47225363,-0.163379903
Emanuel School,,E09000032,Wandsworth,Archives,51.45665326,-0.173290163
"St George's Archives and Special Collections, University of London",,E09000032,Wandsworth,Archives,51.42729284,-0.174518631
Leo Baeck College Library,,E09000003,Barnet,Archives,51.59527665,-0.189326369
"Royal Air Force Museum, Department of Research and Information Services",,E09000003,Barnet,Archives,51.59894703,-0.238163901
King Alfred School,,E09000003,Barnet,Archives,51.56967063,-0.184458946
Barnet Museum,,E09000003,Barnet,Archives,51.65287654,-0.202296261
Middlesex University: Museum of Domestic Design & Architecture Collections Centre,,E09000003,Barnet,Archives,51.59604884,-0.241636786
Middlesex University: Sheppard Library,,E09000003,Barnet,Archives,51.5904557,-0.22959233
Jews College Library,,E09000003,Barnet,Archives,51.58821378,-0.213739211
Barnet Local Studies and Archives,,E09000003,Barnet,Archives,51.58859385,-0.228932832
Brent Museum and Archives,,E09000005,Brent,Archives,51.5466504,-0.228921501
Enfield Local Studies Library and Archive,,E09000010,Enfield,Archives,51.65031766,-0.081118167
Broomfield House Museum,,E09000010,Enfield,Archives,51.61844628,-0.11800416
Brompton Oratory,,E09000020,Kensington and Chelse,Archives,51.49747072,-0.169815218
Chelsea and Westminster Hospital Archives,,E09000020,Kensington and Chelse,Archives,51.48425239,-0.181434976
Leighton House Museum,,E09000020,Kensington and Chelse,Archives,51.49858782,-0.203095135
Commonwealth Institute,,E09000020,Kensington and Chelse,Archives,51.49987443,-0.200159027
London University: Heythrop College,,E09000020,Kensington and Chelse,Archives,51.49946248,-0.1902477
"Offer, Watermann & Co",,E09000020,Kensington and Chelse,Archives,51.48229148,-0.180821618
Royal British Society of Sculptors,,E09000020,Kensington and Chelse,Archives,51.49173139,-0.179509541
State Apartments and Court Dress Collection: Kensington Palace,,E09000020,Kensington and Chelse,Archives,51.50519934,-0.188021818
National Army Museum Templer Study Centre,,E09000020,Kensington and Chelse,Archives,51.48622897,-0.160337437
Chelsea Physic Garden,,E09000020,Kensington and Chelse,Archives,51.48457384,-0.162251549
Chelsea Library,,E09000020,Kensington and Chelse,Archives,51.48747216,-0.168170333
Eighteen Stafford Terrace: Sambourne Family Archive,,E09000020,Kensington and Chelse,Archives,51.50045223,-0.196840681
"National Art Library, Victoria & Albert Museum",,E09000020,Kensington and Chelse,Archives,51.49690228,-0.172098033
"Victoria & Albert Museum, Department of Designs, Prints and Drawings",,E09000020,Kensington and Chelse,Archives,51.49690228,-0.172098033
Royal Institute of British Architects,,E09000020,Kensington and Chelse,Archives,51.49690228,-0.172098033
"Victoria & Albert Museum, Department of Textiles and Dress",,E09000020,Kensington and Chelse,Archives,51.49690228,-0.172098033
Natural History Museum Library and Archives,,E09000020,Kensington and Chelse,Archives,51.49656438,-0.176867722
Armenian Institute,,E09000020,Kensington and Chelse,Archives,51.49955292,-0.193331863
Kensington and Chelsea Libraries and Arts Service,,E09000020,Kensington and Chelse,Archives,51.50141889,-0.194406095
Writers and Scholars Educational Trust (Index on Censorship),,E09000019,Islington,Archives,51.52727965,-0.108473109
Survival International,,E09000019,Islington,Archives,51.52292435,-0.098289009
International PEN,,E09000019,Islington,Archives,51.5230092,-0.098530535
Society of Genealogists,,E09000019,Islington,Archives,51.5226949,-0.098558049
Honourable Artillery Company,,E09000019,Islington,Archives,51.52301548,-0.088410608
Marx Memorial Library,,E09000019,Islington,Archives,51.52296494,-0.105797743
Corps of Commissionaires (Corps Security),,E09000019,Islington,Archives,51.52003774,-0.102733663
"Amnesty International, International Secretariat",,E09000019,Islington,Archives,51.52582065,-0.111128528
Royal Statistical Society,,E09000019,Islington,Archives,51.52252542,-0.090896162
Royal National Institute for the Deaf,,E09000019,Islington,Archives,51.52448381,-0.088565323
Mencap,,E09000019,Islington,Archives,51.52387977,-0.095654351
Scope (formerly the Spastics Society),,E09000019,Islington,Archives,51.54710287,-0.118742027
Guildhall Library Manuscripts Section,,E09000019,Islington,Archives,51.52537595,-0.107528493
London Metropolitan Archives: City of London,,E09000019,Islington,Archives,51.52537595,-0.107528493
"City, University of London",,E09000019,Islington,Archives,51.52770618,-0.102587756
Prison Reform Trust,,E09000019,Islington,Archives,51.52385619,-0.100297203
Legal Action Group,,E09000019,Islington,Archives,51.53119215,-0.119701061
Association for the Conservation of Energy,,E09000019,Islington,Archives,51.53567982,-0.096863134
UKCISA: UK Council for International Student Affairs,,E09000019,Islington,Archives,51.53662962,-0.104422713
Museum of Order of St John,,E09000019,Islington,Archives,51.52192262,-0.10251114
British Psychological Society: History of Psychology Centre,,E09000019,Islington,Archives,51.52319332,-0.086082254
Tavistock Institute of Human Relations,,E09000019,Islington,Archives,51.52319332,-0.086082254
Working Men's Club & Institute Union Ltd,,E09000019,Islington,Archives,51.54566034,-0.103441508
British Deaf Association,,E09000019,Islington,Archives,51.5223107,-0.086551737
Save the Children UK,,E09000019,Islington,Archives,51.5207651,-0.102112419
National Council for Voluntary Youth Services,,E09000019,Islington,Archives,51.5330567,-0.106474468
Guardian News & Media Archive (formerly the Newsroom),,E09000019,Islington,Archives,51.53499869,-0.121548397
ActionAid Central Archive,,E09000019,Islington,Archives,51.56568099,-0.135607243
Evangelical Alliance,,E09000019,Islington,Archives,51.53708312,-0.119746587
National Council of Voluntary Child Care Organisations,,E09000019,Islington,Archives,51.52925214,-0.101427729
Church Times,,E09000019,Islington,Archives,51.52353627,-0.094991154
Islington Local History Centre,,E09000019,Islington,Archives,51.52648755,-0.104527002
Community Service Volunteers,,E09000019,Islington,Archives,51.53092502,-0.11818378
Fields in Trust (formerly the National Playing Fields Association),,E09000019,Islington,Archives,51.53442884,-0.121903503
London Borough of Sutton: Archives & Local Studies,,E09000029,Sutton,Archives,51.36207339,-0.195154616
Medical Defence Union,,E09000028,Southwark,Archives,51.50584065,-0.104000959
University of the Arts London: University Archives and Special Collections,,E09000028,Southwark,Archives,51.4949151,-0.101818139
University of the Arts London: London College of Communication,,E09000028,Southwark,Archives,51.4949151,-0.101818139
Mental Health Foundation,,E09000028,Southwark,Archives,51.50844093,-0.10672454
Confederation of Indian Organisations (UK),,E09000028,Southwark,Archives,51.49843095,-0.105691744
United Medical and Dental Schools: The Wills Library,,E09000028,Southwark,Archives,51.50345369,-0.08824992
Imperial War Museum Film Archive,,E09000028,Southwark,Archives,51.49452227,-0.106444522
Imperial War Museum Photograph Archive,,E09000028,Southwark,Archives,51.49452227,-0.106444522
Salvation Army International Heritage Centre,,E09000028,Southwark,Archives,51.46754133,-0.089275363
News UK Archive,,E09000028,Southwark,Archives,51.50542632,-0.087719169
Society of Chiropodists and Podiatrists,,E09000028,Southwark,Archives,51.5004366,-0.078074266
United Society for the Propagation of the Gospel,,E09000028,Southwark,Archives,51.50330287,-0.101109232
London South Bank University Archives Centre,,E09000028,Southwark,Archives,51.49870595,-0.101742556
Electoral Reform Society of Great Britain and Ireland,,E09000028,Southwark,Archives,51.50515771,-0.102919768
Royal Commonwealth Ex-Services League,,E09000028,Southwark,Archives,51.50196215,-0.091640797
Southwark Local History Library and Archive,,E09000028,Southwark,Archives,51.50176866,-0.091908241
Russo-British Chamber of Commerce,,E09000028,Southwark,Archives,51.50498866,-0.093603703
National Osteopathic Archive,,E09000028,Southwark,Archives,51.50008115,-0.094312879
British School of Osteopathy,,E09000028,Southwark,Archives,51.50008115,-0.094312879
Imperial War Museum Department of Documents,,E09000028,Southwark,Archives,51.49600948,-0.108327792
Imperial War Museum Sound Archive,,E09000028,Southwark,Archives,51.49600948,-0.108327792
DayCare Trust,,E09000028,Southwark,Archives,51.49529754,-0.102666646
Bankside Gallery,,E09000028,Southwark,Archives,51.50819212,-0.100934689
Shakespeare's Globe Library and Archives,,E09000028,Southwark,Archives,51.50811239,-0.09657156
Chartered Institute of Journalists,,E09000028,Southwark,Archives,51.49677063,-0.051027719
Action for Blind People,,E09000028,Southwark,Archives,51.48468217,-0.062835752
Dulwich College Archive,,E09000028,Southwark,Archives,51.44028029,-0.085018121
Dulwich Picture Gallery,,E09000028,Southwark,Archives,51.4459777,-0.086420365
Alleyn's School Archive,,E09000028,Southwark,Archives,51.45478129,-0.081993244
South London Gallery,,E09000028,Southwark,Archives,51.47428603,-0.079749725
James Allen's Girls' School,,E09000028,Southwark,Archives,51.45542039,-0.085528085
Royal British Legion,,E09000028,Southwark,Archives,51.50216782,-0.092122101
The Children's Society Records and Archive Centre,,E09000028,Southwark,Archives,51.49419634,-0.062821182
University of the Arts London: Camberwell College of Arts,,E09000028,Southwark,Archives,51.47411741,-0.079886404
Society of Radiographers,,E09000028,Southwark,Archives,51.50165493,-0.070674501
London Wildlife Trust,,E09000028,Southwark,Archives,51.5038528,-0.101749191
Co-operative Party,,E09000028,Southwark,Archives,51.50207687,-0.085987748
Alexandra Park and Palace Charitable Trust,,E09000014,Haringey,Archives,51.59448347,-0.130501429
Moravian Church Archive and Library,,E09000014,Haringey,Archives,51.58751364,-0.134410693
Evangelical Library,,E09000014,Haringey,Archives,51.60960732,-0.13437207
George Padmore Institute,,E09000014,Haringey,Archives,51.56813088,-0.109447471
Highgate School Archives,,E09000014,Haringey,Archives,51.57220174,-0.149324045
Haringey Archive Service,,E09000014,Haringey,Archives,51.5991501,-0.075440905
Railfuture,,E09000012,Hackney,Archives,51.54712954,-0.074981487
Campaign for Better Transport ,,E09000012,Hackney,Archives,51.5319723,-0.096152741
British Plastics Federation,,E09000012,Hackney,Archives,51.52631281,-0.082722063
Alpine Club Archives,,E09000012,Hackney,Archives,51.52591939,-0.080662628
Geffrye Museum,,E09000012,Hackney,Archives,51.53155722,-0.076244067
National Society for the Prevention of Cruelty to Children,,E09000012,Hackney,Archives,51.52340481,-0.080126923
Livability (Shaftesbury Society),,E09000012,Hackney,Archives,51.52326552,-0.081149086
Museum of London: London Archaeological Archive and Research Centre,,E09000012,Hackney,Archives,51.53473431,-0.090702331
"Hackney Public Libraries, Stoke Newington District Library",,E09000012,Hackney,Archives,51.5616189,-0.082795826
The Wyndham Ashworth Archive,,E09000022,Lambeth,Archives,51.49154783,-0.120555522
Prospect,,E09000022,Lambeth,Archives,51.50217833,-0.116329069
