BOROUGH,Cultural Venue Type,additional_contact_name,address1,address2,address3,alternativenames,borough_code,borough_name,building_name,contact_name,easting,fid_london_ward,greenflagcommunityaward,gss_code,latitude,longitude,northing,os_addressbase_uprn,rm_organisation_name,runtime,site_name,ward,ward_2018_code,ward_2018_name,ward_code,ward_code_2018,ward_name_2018,website
Tower Hamlets,Archives,,Royal London Hospital Archives, 9 Prescot Street,,,E09000030,Tower Hamlets,,,533996.9636,,,E09000030,51.51160555,-0.070412426,180950.9236,6086730,,04/20/2020,Royal London Hospital Archives,,E05009336,Whitechapel,,,,https://www.bartshealth.nhs.uk/the-royal-london-hospital-museum-and-archives
Tower Hamlets,Archives,,HM Tower of London,,,,E09000030,Tower Hamlets,,,533674.9637,,,E09000030,51.50839276,-0.075188563,180584.9237,6086845,,04/20/2020,Royal Fusiliers Museum,,E05009330,St. Katharine's & Wapping,,,,https://www.fusiliermuseumlondon.org/home
Tower Hamlets,Archives,,Oxford House ,Derbyshire Street,,,E09000030,Tower Hamlets,,,534572.9634,,,E09000030,51.52636805,-0.061484047,182608.9232,6089004,,04/20/2020,Lesbian and Gay Christian Movement,,E05009331,St. Peter's,,,,https://www.onebodyonefaith.org.uk/about-us/new-era-new-name/
Tower Hamlets,Archives,,HSBC Holdings plc 8 Canada Square,,,,E09000030,Tower Hamlets,,,537693.9626,,,E09000030,51.50553219,-0.017395336,180373.9238,6151241,,04/20/2020,HSBC Group Archives,,E05009323,Canary Wharf,,,,https://www.hsbc.com/about-hsbc/company-history/hsbc-archives
Tower Hamlets,Archives,,66 Commercial Street,,,,E09000030,Tower Hamlets,,,533736.9636,,,E09000030,51.51811045,-0.073885005,181667.9235,6155270,,04/20/2020,Crisis,,E05009333,Spitalfields & Banglatown,,,,https://www.crisis.org.uk/
Tower Hamlets,Archives,,Archives Mile End Library Queen Mary University of London ,328 Mile End Road,,,E09000030,Tower Hamlets,,,536092.963,,,E09000030,51.52418885,-0.039664421,182406.9232,6164839,,04/20/2020,"London University: Queen Mary, University of London",,E05009317,Bethnal Green,,,,https://www.qmul.ac.uk/
Tower Hamlets,Archives,,21 Prescot Street,,,,E09000030,Tower Hamlets,,,533949.9236,,,E09000030,51.51141648,-0.071098355,180928.6436,6193878,,04/20/2020,Royal College of Psychiatrists,,E05009336,Whitechapel,,,,https://www.rcpsych.ac.uk/
Tower Hamlets,Archives,,4th Floor Universal House ,88-94 Wentworth Street,,,E09000030,Tower Hamlets,,,533941.9636,,,E09000030,51.51708235,-0.070973594,181558.9235,6198476,,04/20/2020,Living Streets,,E05009333,Spitalfields & Banglatown,,,,https://www.livingstreets.org.uk/
Tower Hamlets,Archives,,No 1 Warehouse ,West India Quay ,Hertsmere Road,,E09000030,Tower Hamlets,,,537287.9627,,,E09000030,51.50769779,-0.023152002,180603.9237,6650052,,04/20/2020,Museum of London Docklands - Port and River Archive,,E05009323,Canary Wharf,,,,https://www.museumoflondon.org.uk/collections/access-and-enquiries/port-london-authority-archive
Tower Hamlets,Archives,,Museum in Docklands ,No 1 Warehouse ,West India Quay,,E09000030,Tower Hamlets,,,537287.9627,,,E09000030,51.50769779,-0.023152002,180603.9237,6650052,,04/20/2020,Sainsbury Archive,,E05009323,Canary Wharf,,,,https://www.museumoflondon.org.uk/collections/access-and-enquiries/sainsbury-archive
Tower Hamlets,Archives,,Minority Rights Group International ,54 Commercial Street London,,,E09000030,Tower Hamlets,,,533776.9636,,,E09000030,51.51744496,-0.073336543,181594.9235,6715453,,04/20/2020,Minority Rights Group,,E05009333,Spitalfields & Banglatown,,,,https://minorityrights.org/
Camden,Archives,,Crowndale Road,,,,E09000007,Camden,,,529376.9648,,,E09000007,51.53523862,-0.136029812,183460.923,5005485,,04/20/2020,Working Mens College,,E05000143,St. Pancras and Somers Town,,,,
Camden,Archives,,183 Euston Road,,,,E09000007,Camden,,,529549.9648,,,E09000007,51.52589757,-0.133917455,182425.9232,5083806,,04/20/2020,Wellcome Collection,,E05000129,Bloomsbury,,,,https://wellcomecollection.org/
Camden,Archives,,185 Broadhurst Gardens,,,,E09000007,Camden,,,525571.9659,,,E09000007,51.54618942,-0.190460152,184583.9227,5082898,,04/20/2020,English National Opera Archive,,E05000145,West Hampstead,,,,https://www.eno.org/
Camden,Archives,,16 Taviton Street,,,,E09000007,Camden,,,529702.9647,,,E09000007,51.52532328,-0.131735287,182365.9233,5007450,,04/20/2020,London University: UCL School of Slavonic and East European Studies,,E05000129,Bloomsbury,,,,https://www.ucl.ac.uk/ssees/
Camden,Archives,,28 Fitzroy Square,,,,E09000007,Camden,,,529088.9649,,,E09000007,51.52259699,-0.140697861,182046.9233,5008666,,04/20/2020,Magistrates Association,,E05000129,Bloomsbury,,,,https://www.magistrates-association.org.uk/
Camden,Archives,,20 Maresfield Gardens,,,,E09000007,Camden,,,526481.9656,,,E09000007,51.54842189,-0.177246355,184854.9226,5012934,,04/20/2020,Freud Museum,,E05000133,Frognal and Fitzjohns,,,,https://www.freud.org.uk/
Camden,Archives,,Keats Grove Hampstead,,,,E09000007,Camden,,,527107.9654,,,E09000007,51.55556976,-0.16793018,185665.9224,5015415,,04/20/2020,Keats House,,E05000135,Hampstead Town,,,,https://www.cityoflondon.gov.uk/things-to-do/keats-house/Pages/default.aspx
Camden,Archives,,Senate House Malet Street,,,,E09000007,Camden,,,529926.9647,,,E09000007,51.52064362,-0.128698024,181850.9234,5016035,,04/20/2020,London University: Senate House Library,,E05000129,Bloomsbury,,,,https://www.senatehouselibrary.ac.uk/
Camden,Archives,,De Morgan House ,57-58 Russell Square,,,E09000007,Camden,,,530223.9646,,,E09000007,51.52117742,-0.124394946,181917.9234,5083525,,04/20/2020,London Mathematical Society,,E05000129,Bloomsbury,,,,https://www.lms.ac.uk/
Camden,Archives,,Special Collections Reading Room Senate House Library Senate House (South Block) Malet Street,,,,E09000007,Camden,,,529926.9647,,,E09000007,51.52064362,-0.128698024,181850.9234,5016035,,04/20/2020,London University: Institute of Modern Languages Research,,E05000129,Bloomsbury,,,,https://modernlanguages.sas.ac.uk/
Camden,Archives,,Senate House Malet Street,,,,E09000007,Camden,,,529926.9647,,,E09000007,51.52064362,-0.128698024,181850.9234,5016035,,04/20/2020,London University: Institute of Classical Studies,,E05000129,Bloomsbury,,,,https://ics.sas.ac.uk/
Camden,Archives,,Special Collections Reading Room Senate House Library South Block Senate House Malet Street,,,,E09000007,Camden,,,529926.9647,,,E09000007,51.52064362,-0.128698024,181850.9234,5016035,,04/20/2020,London University: Institute of Commonwealth Studies,,E05000129,Bloomsbury,,,,https://commonwealth.sas.ac.uk/
Camden,Archives,,Montagu Centre ,21 Maple Street,,,E09000007,Camden,,,529298.9648,,,E09000007,51.52243218,-0.137677393,182033.9234,5016796,,04/20/2020,Liberal Judaism archives,,E05000129,Bloomsbury,,,,https://www.liberaljudaism.org/resources/lj-historical-archive/
Camden,Archives,,Lucy Gura Archive ,3 Doughty Mews,,,E09000007,Camden,,,530734.9645,,,E09000007,51.52315343,-0.116947449,182150.9233,5020719,,04/20/2020,Egypt Exploration Society,,E05000138,Holborn and Covent Garden,,,,https://www.ees.ac.uk/
Camden,Archives,,Swedenborg House ,20 Bloomsbury Way,,,E09000007,Camden,,,530348.9646,,,E09000007,51.51792235,-0.122727011,181558.9235,5024660,,04/20/2020,General Conference of the New Church,,E05000138,Holborn and Covent Garden,,,,NA
Camden,Archives,,Swedenborg House ,20-21 Bloomsbury Way,,,E09000007,Camden,,,530348.9646,,,E09000007,51.51792235,-0.122727011,181558.9235,5024660,,04/20/2020,Swedenborg Society,,E05000138,Holborn and Covent Garden,,,,http://www.swedenborg.org.uk/home
Camden,Archives,,96 Euston Road,,,,E09000007,Camden,,,530018.9647,,,E09000007,51.52998677,-0.126988356,182892.9231,5037737,,04/20/2020,"British Library, Music Collections",,E05000143,St. Pancras and Somers Town,,,,https://www.bl.uk/subjects/music
Camden,Archives,,British Library ,96 Euston Road,,,E09000007,Camden,,,530018.9647,,,E09000007,51.52998677,-0.126988356,182892.9231,5037737,,04/20/2020,British Library Corporate Archives,,E05000143,St. Pancras and Somers Town,,,,http://searcharchives.bl.uk/primo_library/libweb/action/search.do?dscnt=1&dstmp=1542715917978&vid=IAMS_VU2&fromLogin=true
Camden,Archives,,96 Euston Road,,,,E09000007,Camden,,,530018.9647,,,E09000007,51.52998677,-0.126988356,182892.9231,5037737,,04/20/2020,British Library: Asian and African Studies,,E05000143,St. Pancras and Somers Town,,,,https://www.bl.uk/visit/reading-rooms/asian-and-african-studies-reading-room
Camden,Archives,,96 Euston Road,,,,E09000007,Camden,,,530018.9647,,,E09000007,51.52998677,-0.126988356,182892.9231,5037737,,04/20/2020,"British Library, Modern English and Reader Services, Humanities and Social Sciences",,E05000143,St. Pancras and Somers Town,,,,https://www.bl.uk/visit/reading-rooms/humanities-reading-room
Camden,Archives,,96 Euston Road,,,,E09000007,Camden,,,530018.9647,,,E09000007,51.52998677,-0.126988356,182892.9231,5037737,,04/20/2020,"British Library, Sound Archive",,E05000143,St. Pancras and Somers Town,,,,https://sounds.bl.uk/
Camden,Archives,,96 Euston Road,,,,E09000007,Camden,,,530018.9647,,,E09000007,51.52998677,-0.126988356,182892.9231,5037737,,04/20/2020,"British Library, Map Library",,E05000143,St. Pancras and Somers Town,,,,https://www.bl.uk/subjects/maps
Camden,Archives,,96 Euston Road,,,,E09000007,Camden,,,530018.9647,,,E09000007,51.52998677,-0.126988356,182892.9231,5037737,,04/20/2020,"British Library, Manuscript Collections",,E05000143,St. Pancras and Somers Town,,,,https://www.bl.uk/subjects/manuscripts-and-archives
Camden,Archives,,42 Queen Square,,,,E09000007,Camden,,,530405.9645,,,E09000007,51.52086587,-0.12178428,181887.9234,5045366,,04/20/2020,Mary Ward Centre,,E05000138,Holborn and Covent Garden,,,,http://www.marywardcentre.ac.uk/
Camden,Archives,,8 South Square,,,,E09000007,Camden,,,531058.9644,,,E09000007,51.51927701,-0.112437215,181727.9234,5045865,,04/20/2020,Hon Soc of Gray's Inn: Archives,,E05000138,Holborn and Covent Garden,,,,https://www.graysinn.org.uk/history/archives
Camden,Archives,,Conway Hall ,25 Red Lion Square,,,E09000007,Camden,,,530649.9645,,,E09000007,51.51979404,-0.118311294,181774.9234,5048256,,04/20/2020,Humanist Library and Archives,,E05000138,Holborn and Covent Garden,,,,https://conwayhall.org.uk/library/
Camden,Archives,,25 Red Lion Square,,,,E09000007,Camden,,,530649.9645,,,E09000007,51.51979404,-0.118311294,181774.9234,5048256,,04/20/2020,National Secular Society,,E05000138,Holborn and Covent Garden,,,,https://www.secularism.org.uk/
Camden,Archives,,16 Bedford Square,,,,E09000007,Camden,,,529820.9647,,,E09000007,51.51957157,-0.130269899,181728.9234,5059068,,04/20/2020,Paul Mellon Centre for Studies in British Art,,E05000129,Bloomsbury,,,,https://www.paul-mellon-centre.ac.uk/
Camden,Archives,,35 Red Lion Square,,,,E09000007,Camden,,,530558.9645,,,E09000007,51.51943761,-0.119637687,181732.9234,5059115,,04/20/2020,Royal College of Anaesthetists,,E05000138,Holborn and Covent Garden,,,,https://www.rcoa.ac.uk/
Camden,Archives,,250 Euston Road,,,,E09000007,Camden,,,529310.9648,,,E09000007,51.52573661,-0.137369511,182401.9233,5066067,,04/20/2020,University College London Hospitals NHS Foundation Trust,,E05000142,Regent's Park,,,,http://www.uclh.nhs.uk/Pages/Home.aspx
Camden,Archives,,Cecil Sharp House ,2 Regents Park Road,,,E09000007,Camden,,,528445.9651,,,E09000007,51.53810212,-0.149337866,183755.9229,5066674,,04/20/2020,English Folk Dance and Song Society: Vaughan Williams Memorial Library,,E05000130,Camden Town with Primrose Hill,,,,https://www.vwml.org/
Camden,Archives,,Burgh House ,New End Square,,,E09000007,Camden,,,526605.9656,,,E09000007,51.5581809,-0.175067341,185943.9223,5067420,,04/20/2020,Hampstead Museum,,E05000135,Hampstead Town,,,,https://burghhouse.museumssites.com/
Camden,Archives,,11 South Grove,,,,E09000007,Camden,,,528420.9651,,,E09000007,51.57018179,-0.14839595,187324.9219,5067464,,04/20/2020,Highgate Literary and Scientific Institution,,E05000137,Highgate,,,,http://www.hlsi.net/
Camden,Archives,,11 St Andrews Place ,Regent's Park,,,E09000007,Camden,,,528782.965,,,E09000007,51.52574929,-0.144980746,182389.9233,5069347,,04/20/2020,Royal College of Physicians of London,,E05000142,Regent's Park,,,,https://www.rcplondon.ac.uk/
Camden,Archives,,18 Bloomsbury Square,,,,E09000007,Camden,,,530254.9646,,,E09000007,51.51928304,-0.124025969,181707.9234,5071361,,04/20/2020,History of Parliament,,E05000129,Bloomsbury,,,,https://www.historyofparliamentonline.org/
Camden,Archives,,Holborn Library ,32-38 Theobalds Road,,,E09000007,Camden,,,530826.9644,,,E09000007,51.52118201,-0.115702644,181933.9234,5082117,,04/20/2020,Camden Local Studies and Archives Centre,,E05000138,Holborn and Covent Garden,,,,https://www.camden.gov.uk/ccm/navigation/leisure/libraries-and-online-learning-centres/local-history/
Camden,Archives,,Raymond Burton House 129-131 Albert Street,,,,E09000007,Camden,,,528773.965,,,E09000007,51.53728156,-0.144641468,183672.9229,5082327,,04/20/2020,"Jewish Museum, London (fomerly Finchley)",,E05000130,Camden Town with Primrose Hill,,,,https://jewishmuseum.org.uk/
Camden,Archives,,Raymond Burton House 129-131 Albert Street,,,,E09000007,Camden,,,528773.965,,,E09000007,51.53728156,-0.144641468,183672.9229,5082327,,04/20/2020,"Jewish Museum, London",,E05000130,Camden Town with Primrose Hill,,,,https://jewishmuseum.org.uk/
Camden,Archives,,Friends House ,173-177 Euston Road,,,E09000007,Camden,,,529640.9648,,,E09000007,51.5262991,-0.132589142,182472.9232,5085921,,04/20/2020,Religious Society of Friends Library,,E05000129,Bloomsbury,,,,http://www.quaker.org.uk/resources/library
Camden,Archives,,3rd Floor Holborn Telephone Exchange ,268-270 High Holborn,,,E09000007,Camden,,,530763.9644,,,E09000007,51.51761085,-0.116758156,181534.9235,5086502,,04/20/2020,BT Archives,,E05000138,Holborn and Covent Garden,,,,https://www.btplc.com/Thegroup/BTsHistory/BTgrouparchives/index.htm
Camden,Archives,,School of Oriental and African Studies,Thornhaugh Street,Russell Square,,E09000007,Camden,,,529884.9647,,,E09000007,51.52235179,-0.129233406,182039.9233,5086881,,04/20/2020,Royal African Society,,E05000129,Bloomsbury,,,,http://www.royalafricansociety.org/
Camden,Archives,,Archives & Special Collections ,10 Thornhaugh Street Russell Square,,,E09000007,Camden,,,529884.9647,,,E09000007,51.52235179,-0.129233406,182039.9233,5086881,,04/20/2020,London University: School of Oriental and African Studies (SOAS),,E05000129,Bloomsbury,,,,https://www.soas.ac.uk/
Camden,Archives,,Duchess House,18-19 Warren Street,,,E09000007,Camden,,,529162.9649,,,E09000007,51.52395509,-0.139575757,182199.9233,5087095,,04/20/2020,Law Centres Federation,,E05000129,Bloomsbury,,,,http://www.lawcentres.org.uk/
Camden,Archives,,48 Doughty Street,,,,E09000007,Camden,,,530782.9644,,,E09000007,51.52360065,-0.116237045,182201.9233,5087477,,04/20/2020,Charles Dickens Museum,,E05000138,Holborn and Covent Garden,,,,https://dickensmuseum.com/
Camden,Archives,,Charles Clore House ,17 Russell Square,,,E09000007,Camden,,,530009.9647,,,E09000007,51.52248482,-0.127426054,182057.9233,5087791,,04/20/2020,London University: Institute of Advanced Legal Studies,,E05000129,Bloomsbury,,,,https://ials.sas.ac.uk/
Camden,Archives,,Freemasons' Hall ,60 Great Queen Street,,,E09000007,Camden,,,530468.9645,,,E09000007,51.51516268,-0.121110979,181254.9236,5087804,,04/20/2020,Library and Museum of Freemasonry,,E05000138,Holborn and Covent Garden,,,,http://freemasonry.london.museum/
Camden,Archives,,Gordon Fisher House ,14-15 Great James Street,,,E09000007,Camden,,,530746.9645,,,E09000007,51.5216858,-0.116835035,181987.9234,5087806,,04/20/2020,Federation of Master Builders,,E05000138,Holborn and Covent Garden,,,,https://www.fmb.org.uk/
Camden,Archives,,14 Stephenson Way,,,,E09000007,Camden,,,529442.9648,,,E09000007,51.52650623,-0.135435119,182490.9232,5087912,,04/20/2020,Royal Asiatic Society,,E05000142,Regent's Park,,,,https://royalasiaticsociety.org/
Camden,Archives,,17 Bloomsbury Square,,,,E09000007,Camden,,,530259.9646,,,E09000007,51.51890444,-0.123969462,181665.9234,5087926,,04/20/2020,German Historical Institute London,,E05000138,Holborn and Covent Garden,,,,https://www.ghil.ac.uk/home.html
Camden,Archives,,Newsam Library and Archives ,20 Bedford Way,,,E09000007,Camden,,,529972.9647,,,E09000007,51.52297862,-0.127939155,182111.9233,5087943,,04/20/2020,London University: Institute of Education,,E05000129,Bloomsbury,,,,https://www.ucl.ac.uk/ioe/
Camden,Archives,,University of London ,31-34 Gordon Square,,,E09000007,Camden,,,529711.9647,,,E09000007,51.52491681,-0.131622188,182320.9233,5087993,,04/20/2020,London University: Institute of Archaeology,,E05000129,Bloomsbury,,,,https://www.ucl.ac.uk/archaeology
Camden,Archives,,50 Fitzroy Street,,,,E09000007,Camden,,,529146.9649,,,E09000007,51.52384191,-0.139811022,182186.9233,5088048,,04/20/2020,Royal Anthropological Institute of Great Britain and Ireland,,E05000129,Bloomsbury,,,,https://www.therai.org.uk/
Camden,Archives,,8 Ely Place Holborn,,,,E09000007,Camden,,,531421.9643,,,E09000007,51.51830308,-0.10724526,181628.9235,5088098,,04/20/2020,International Brewers Guild,,E05000138,Holborn and Covent Garden,,,,https://beerandbrewing.com/dictionary/iu1zbv4d6L/
Camden,Archives,,5-11 Theobalds Road,,,,E09000007,Camden,,,530814.9644,,,E09000007,51.52071748,-0.115894802,181881.9234,5088266,,04/20/2020,Royal College of Paediatrics and Child Health,,E05000138,Holborn and Covent Garden,,,,https://www.rcpch.ac.uk/
Camden,Archives,,6 Queen Square,,,,E09000007,Camden,,,530320.9646,,,E09000007,51.5214067,-0.122987281,181945.9234,5088276,,04/20/2020,Art Workers Guild,,E05000138,Holborn and Covent Garden,,,,http://www.artworkersguild.org/
Camden,Archives,,7 Ridgmount Street,,,,E09000007,Camden,,,529738.9647,,,E09000007,51.52030934,-0.131421658,181808.9234,5088287,,04/20/2020,Chartered Institute of Library and Information Professionals (CILIP),,E05000129,Bloomsbury,,,,https://www.cilip.org.uk/
Camden,Archives,,1 Gower Street,,,,E09000007,Camden,,,529830.9647,,,E09000007,51.51979395,-0.130116644,181753.9234,5088342,,04/20/2020,British Humanist Association,,E05000129,Bloomsbury,,,,https://humanism.org.uk/
Camden,Archives,,20-22 Bedford Row,,,,E09000007,Camden,,,530799.9644,,,E09000007,51.52051425,-0.116119411,181858.9234,5088364,,04/20/2020,Newman Association,,E05000138,Holborn and Covent Garden,,,,http://www.newman.org.uk/
Camden,Archives,,31 Eyre Street Hill,,,,E09000007,Camden,,,531166.9643,,,E09000007,51.52297249,-0.110727484,182141.9233,5088379,,04/20/2020,The Artangel Trust,,E05000138,Holborn and Covent Garden,,,,https://www.artangel.org.uk/
Camden,Archives,,Faber & Faber Ltd Bloomsbury House ,74-77 Great Russell Street,,,E09000007,Camden,,,530238.9646,,,E09000007,51.51922382,-0.12425903,181700.9234,5088411,,04/20/2020,Faber Archive,,E05000129,Bloomsbury,,,,https://www.faber.co.uk/blog/tag/faber-archive/
Camden,Archives,,126 Albert Street,,,,E09000007,Camden,,,528814.965,,,E09000007,51.53747892,-0.144042224,183695.9229,5088430,,04/20/2020,Friends of the Hebrew University of Jerusalem,,E05000130,Camden Town with Primrose Hill,,,,https://www.bfhu.org/
Camden,Archives,,Greater London House  ,180 Hampstead Road,,,E09000007,Camden,,,529134.9649,,,E09000007,51.53344266,-0.139592511,183254.923,5088648,,04/20/2020,British Heart Foundation,,E05000142,Regent's Park,,,,https://www.bhf.org.uk/
Camden,Archives,,The Building Centre ,26 Store Street,,,E09000007,Camden,,,529730.9647,,,E09000007,51.51965513,-0.131563761,181735.9234,5088670,,04/20/2020,National Council of Building Materials Producers,,E05000129,Bloomsbury,,,,https://www.constructionproducts.org.uk/
Camden,Archives,,Woburn Square,,,,E09000007,Camden,,,529785.9647,,,E09000007,51.52327321,-0.130622753,182139.9233,5090639,,04/20/2020,London University: Warburg Institute,,E05000129,Bloomsbury,,,,https://warburg.sas.ac.uk/
Camden,Archives,,5 Tavistock Place,,,,E09000007,Camden,,,530004.9647,,,E09000007,51.52526291,-0.127384112,182366.9233,5090642,,04/20/2020,National Institute for Social Work,,E05000141,King's Cross,,,,
Camden,Archives,,University College School Archives ,Frognal ,Hampstead,,E09000007,Camden,,,526201.9657,,,E09000007,51.55350825,-0.181082008,185413.9224,5090680,,04/20/2020,University College School,,E05000133,Frognal and Fitzjohns,,,,https://www.ucs.org.uk/
Camden,Archives,,Great Russell Street,,,,E09000007,Camden,,,530058.9646,,,E09000007,51.51936411,-0.126847821,181711.9234,5090682,,04/20/2020,British Museum: Department of Ancient Egypt and Sudan,,E05000129,Bloomsbury,,,,https://www.britishmuseum.org/about_us/departments/ancient_egypt_and_sudan.aspx
Camden,Archives,,Great Russell Street,,,,E09000007,Camden,,,530058.9646,,,E09000007,51.51936411,-0.126847821,181711.9234,5090682,,04/20/2020,British Museum: Department of the Ancient Near East,,E05000129,Bloomsbury,,,,https://www.britishmuseum.org/about_us/departments/middle_east.aspx
Camden,Archives,,Great Russell Street,,,,E09000007,Camden,,,530058.9646,,,E09000007,51.51936411,-0.126847821,181711.9234,5090682,,04/20/2020,British Museum: Department of Prints and Drawings,,E05000129,Bloomsbury,,,,https://www.britishmuseum.org/about_us/departments/prints_and_drawings.aspx
Camden,Archives,,Great Russell Street,,,,E09000007,Camden,,,530058.9646,,,E09000007,51.51936411,-0.126847821,181711.9234,5090682,,04/20/2020,British Museum: Department of Greek and Roman Antiquities,,E05000129,Bloomsbury,,,,https://www.britishmuseum.org/about_us/departments/greece_and_rome.aspx
Camden,Archives,,Great Russell Street,,,,E09000007,Camden,,,530058.9646,,,E09000007,51.51936411,-0.126847821,181711.9234,5090682,,04/20/2020,"British Museum: Department of Britain, Europe and Prehistory",,E05000129,Bloomsbury,,,,"https://www.britishmuseum.org/about_us/departments/britain,_europe_and_prehistory.aspx"
Camden,Archives,,Centre for Anthropology ,British Museum ,Bloomsbury,,E09000007,Camden,,,530058.9646,,,E09000007,51.51936411,-0.126847821,181711.9234,5090682,,04/20/2020,British Museum Ethnography Library,,E05000129,Bloomsbury,,,,https://www.britishmuseum.org/research/research_projects/complete_projects/featured_project_inca_ushnus/studying_ushnus/ethnography.aspx
Camden,Archives,,British Museum ,Great Russell Street,,,E09000007,Camden,,,530058.9646,,,E09000007,51.51936411,-0.126847821,181711.9234,5090682,,04/20/2020,British Museum Central Archive,,E05000129,Bloomsbury,,,,https://www.britishmuseum.org/research/libraries_and_archives.aspx
Camden,Archives,,Swain's Lane Highgate,,,,E09000007,Camden,,,528540.9651,,,E09000007,51.56691029,-0.146797338,186963.922,5090701,,04/20/2020,Highgate Cemetery,,E05000137,Highgate,,,,https://highgatecemetery.org/
Camden,Archives,,Keppel Street,,,,E09000007,Camden,,,529789.9647,,,E09000007,51.52092672,-0.130661227,181878.9234,5090709,,04/20/2020,London University: London School of Hygiene and Tropical Medicine,,E05000129,Bloomsbury,,,,https://www.lshtm.ac.uk/
